medicine,toxicity_level,disposal,compost_safe,warnings
Clindamycin SR,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Clindamycin Capsule,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Clindamycin 100mg,Low,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Clindamycin XL,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Clindamycin XL,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Clindamycin 500mg,Low,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Clindamycin 500mg,High,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Clindamycin Oral,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Clindamycin SR,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Clindamycin Capsule,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Clindamycin Oral,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Clindamycin Cap,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Clindamycin 250mg,Low,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Clindamycin SR,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Clindamycin Capsule,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Clindamycin XL,Medium,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Clindamycin 500mg,High,Do not flush. Incinerate,No,Toxic if released into groundwater.
Clindamycin Cap,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Clindamycin Oral,High,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Clindamycin Tab,Medium,Safe landfill,No,Harmful to aquatic life.
Clindamycin SR,Medium,Safe landfill,Yes,Toxic if released into groundwater.
Clindamycin 100mg,Medium,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Clindamycin Tablet,Low,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Clindamycin SR,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Clindamycin SR,Low,Return to pharmacy,Yes,Toxic if released into groundwater.
Clindamycin Capsule,Medium,Eco-bin drop-off,No,Toxic if released into groundwater.
Clindamycin Tab,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Clindamycin 100mg,Medium,Eco-bin drop-off,No,Toxic if released into groundwater.
Clindamycin Tablet,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Clindamycin Cap,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Clindamycin 100mg,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Clindamycin 100mg,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Clindamycin XL,Medium,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Clindamycin Tablet,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Clindamycin Tablet,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Clindamycin 250mg,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Clindamycin XL,High,Hazardous waste treatment,No,Toxic if released into groundwater.
Clindamycin 100mg,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Clindamycin Tablet,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Clindamycin Cap,High,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Clindamycin Tablet,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Clindamycin 500mg,Medium,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Clindamycin Oral,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Clindamycin Oral,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Clindamycin Cap,Medium,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Clindamycin 250mg,Medium,Return to pharmacy,No,Disrupts soil microbes if composted.
Clindamycin XL,Low,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Clindamycin SR,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Clindamycin Cap,Low,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Clindamycin SR,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Clindamycin Cap,Low,Safe landfill,Yes,Harmful to aquatic life.
Clindamycin 250mg,Medium,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Clindamycin XL,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Clindamycin 500mg,High,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Clindamycin XL,Low,Safe landfill,No,Toxic if released into groundwater.
Clindamycin XL,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Clindamycin Cap,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Clindamycin 250mg,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Clindamycin XL,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Clindamycin 100mg,Medium,Safe landfill,No,Harmful to aquatic life.
Clindamycin Oral,High,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Clindamycin 250mg,Medium,Safe landfill,No,Eco-hazardous if mixed with household waste.
Clindamycin Tab,Low,Hazardous waste treatment,No,Harmful to aquatic life.
Clindamycin Capsule,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Clindamycin 500mg,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Clindamycin 250mg,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Clindamycin Tablet,Low,Return to pharmacy,No,Toxic if released into groundwater.
Clindamycin Tablet,High,Safe landfill,Yes,Toxic if released into groundwater.
Clindamycin 500mg,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Clindamycin Cap,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Clindamycin Oral,Low,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Clindamycin SR,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Clindamycin XL,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Clindamycin Cap,High,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Clindamycin XL,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Clindamycin XL,Medium,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Clindamycin Cap,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Clindamycin 500mg,Medium,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Clindamycin Tablet,Medium,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Clindamycin 100mg,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Fluconazole Tablet,Medium,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Fluconazole 100mg,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Fluconazole SR,Low,Eco-bin drop-off,No,Toxic if released into groundwater.
Fluconazole Tablet,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Fluconazole 250mg,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Fluconazole Tab,Low,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Fluconazole SR,Low,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Fluconazole Oral,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Fluconazole Capsule,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Fluconazole 100mg,High,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Fluconazole Tab,Low,Safe landfill,No,Toxic if released into groundwater.
Fluconazole Oral,High,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Fluconazole Cap,Low,Do not flush. Incinerate,No,Harmful to aquatic life.
Fluconazole 500mg,Medium,Safe landfill,Yes,Toxic if released into groundwater.
Fluconazole SR,High,Hazardous waste treatment,Yes,Harmful to aquatic life.
Fluconazole 500mg,Medium,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Fluconazole 100mg,Medium,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Fluconazole XL,High,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Fluconazole XL,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Fluconazole 250mg,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Fluconazole 100mg,High,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Fluconazole XL,Medium,Hazardous waste treatment,Yes,Harmful to aquatic life.
Fluconazole Oral,High,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Fluconazole 500mg,Medium,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Fluconazole Tablet,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Fluconazole 250mg,High,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Fluconazole Tab,Low,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole Tab,Medium,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Fluconazole Capsule,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Fluconazole 100mg,High,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Fluconazole SR,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Fluconazole Oral,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Fluconazole Oral,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Fluconazole Tablet,Medium,Safe landfill,No,Should be incinerated to avoid soil contamination.
Fluconazole Tab,Low,Safe landfill,No,Toxic if released into groundwater.
Fluconazole Tab,High,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Fluconazole Cap,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Fluconazole Tablet,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Fluconazole Tab,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Fluconazole 500mg,Low,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole 250mg,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Fluconazole Cap,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Fluconazole Tablet,High,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Fluconazole Capsule,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Fluconazole XL,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Fluconazole 250mg,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Fluconazole Oral,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Fluconazole Oral,Medium,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Fluconazole 100mg,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Fluconazole 100mg,Low,Safe landfill,No,Harmful to aquatic life.
Fluconazole 100mg,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Fluconazole Capsule,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Fluconazole XL,Low,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Fluconazole Capsule,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Fluconazole 500mg,Low,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Fluconazole Capsule,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Fluconazole Tablet,Low,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole Tablet,High,Eco-bin drop-off,No,Toxic if released into groundwater.
Fluconazole SR,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Fluconazole 250mg,High,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Fluconazole Cap,Medium,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Fluconazole 250mg,Medium,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Fluconazole Capsule,High,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Fluconazole Tablet,Medium,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Fluconazole Capsule,High,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Fluconazole XL,High,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Fluconazole 100mg,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Fluconazole Tab,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Fluconazole Tablet,Medium,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Fluconazole 100mg,High,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Fluconazole Capsule,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Fluconazole SR,Low,Safe landfill,No,Toxic if released into groundwater.
Fluconazole Tablet,High,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Fluconazole SR,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Fluconazole 500mg,Low,Safe landfill,Yes,Toxic if released into groundwater.
Fluconazole XL,Medium,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Fluconazole 500mg,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Fluconazole Capsule,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Fluconazole Tab,Low,Safe landfill,Yes,Toxic if released into groundwater.
Fluconazole Tab,Low,Hazardous waste treatment,No,Harmful to aquatic life.
Fluconazole Tab,High,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Fluconazole 250mg,High,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Fluconazole 500mg,High,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Fluconazole Tablet,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Fluconazole Cap,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Fluconazole Tab,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole 250mg,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Fluconazole Oral,Medium,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Fluconazole Tab,High,Eco-bin drop-off,No,Harmful to aquatic life.
Fluconazole Tab,Medium,Safe landfill,No,Eco-hazardous if mixed with household waste.
Fluconazole 500mg,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Fluconazole 100mg,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Fluconazole 500mg,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Fluconazole Capsule,Medium,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Fluconazole Cap,Low,Safe landfill,No,Harmful to aquatic life.
Fluconazole 100mg,Low,Safe landfill,Yes,Toxic if released into groundwater.
Fluconazole 250mg,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Fluconazole Capsule,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Fluconazole Oral,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Fluconazole SR,Medium,Hazardous waste treatment,No,Toxic if released into groundwater.
Fluconazole SR,High,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Fluconazole 500mg,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole XL,Medium,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole Oral,Low,Safe landfill,Yes,Harmful to aquatic life.
Fluconazole XL,High,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Fluconazole 500mg,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Fluconazole Tablet,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Fluconazole 250mg,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Fluconazole Oral,Medium,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Fluconazole Tab,High,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Fluconazole Tab,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Fluconazole 100mg,Low,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Fluconazole SR,Low,Safe landfill,No,Toxic if released into groundwater.
Fluconazole Capsule,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Fluconazole 100mg,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Fluconazole 250mg,Medium,Safe landfill,No,Harmful to aquatic life.
Fluconazole 100mg,Low,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Fluconazole 500mg,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Fluconazole 250mg,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Fluconazole Oral,Low,Eco-bin drop-off,No,Toxic if released into groundwater.
Fluconazole 100mg,High,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Fluconazole 500mg,High,Safe landfill,Yes,Harmful to aquatic life.
Fluconazole Capsule,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Fluconazole 250mg,Medium,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Fluconazole 500mg,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Fluconazole SR,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Fluconazole Oral,Low,Safe landfill,Yes,Harmful to aquatic life.
Fluconazole 250mg,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Fluconazole Cap,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Fluconazole SR,Medium,Eco-bin drop-off,No,Toxic if released into groundwater.
Fluconazole Tab,Low,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Fluconazole Oral,Medium,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Fluconazole 250mg,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Fluconazole XL,Low,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Fluconazole SR,High,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Fluconazole 100mg,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Fluconazole Tab,Low,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Fluconazole XL,Medium,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole 100mg,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Fluconazole 500mg,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Fluconazole 500mg,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Fluconazole 500mg,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Fluconazole Tab,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Fluconazole SR,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Fluconazole Cap,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Fluconazole Cap,Medium,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole XL,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Fluconazole Oral,Medium,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Fluconazole Tab,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Fluconazole Cap,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole XL,High,Eco-bin drop-off,No,Harmful to aquatic life.
Fluconazole XL,Low,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Fluconazole XL,High,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Fluconazole 250mg,Low,Do not flush. Incinerate,No,Harmful to aquatic life.
Fluconazole SR,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Fluconazole 100mg,Medium,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Fluconazole 500mg,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Fluconazole Tablet,Medium,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Fluconazole Tablet,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Fluconazole SR,Low,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Fluconazole Oral,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Fluconazole 500mg,High,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Fluconazole Capsule,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Fluconazole Cap,High,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Fluconazole Tablet,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Fluconazole Cap,High,Safe landfill,Yes,Can enter waterways through improper disposal.
Fluconazole 250mg,Medium,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Fluconazole 500mg,Medium,Hazardous waste treatment,No,Toxic if released into groundwater.
Fluconazole XL,Medium,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Fluconazole Tab,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Fluconazole XL,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Fluconazole Capsule,Low,Return to pharmacy,Yes,Toxic if released into groundwater.
Fluconazole Tab,Medium,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Fluconazole Capsule,High,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Fluconazole Capsule,Medium,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Fluconazole 250mg,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Fluconazole Cap,Low,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Fluconazole Oral,High,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Fluconazole Tablet,Low,Safe landfill,Yes,Toxic if released into groundwater.
Fluconazole Cap,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Tablet,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Ranitidine XL,Low,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine 100mg,High,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine 500mg,Low,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine Oral,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Ranitidine SR,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ranitidine Oral,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Ranitidine Oral,Medium,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ranitidine 100mg,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Tablet,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Ranitidine Cap,Low,Hazardous waste treatment,No,Harmful to aquatic life.
Ranitidine Cap,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Ranitidine Capsule,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Ranitidine SR,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Ranitidine 250mg,Low,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Ranitidine Tablet,High,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Ranitidine XL,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Ranitidine 100mg,Low,Safe landfill,No,Can enter waterways through improper disposal.
Ranitidine Tab,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Ranitidine SR,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Ranitidine 250mg,Low,Safe landfill,Yes,Harmful to aquatic life.
Ranitidine Tablet,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ranitidine Capsule,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ranitidine XL,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Ranitidine Tab,High,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Ranitidine XL,High,Eco-bin drop-off,No,Toxic if released into groundwater.
Ranitidine Cap,Low,Safe landfill,Yes,Harmful to aquatic life.
Ranitidine 500mg,Medium,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Tablet,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Ranitidine 100mg,High,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Ranitidine XL,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Ranitidine Cap,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Tablet,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Capsule,High,Return to pharmacy,No,Disrupts soil microbes if composted.
Ranitidine 500mg,High,Safe landfill,Yes,Toxic if released into groundwater.
Ranitidine Oral,High,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ranitidine Tablet,Medium,Hazardous waste treatment,Yes,Harmful to aquatic life.
Ranitidine SR,High,Return to pharmacy,No,Can enter waterways through improper disposal.
Ranitidine Oral,Low,Return to pharmacy,No,Harmful to aquatic life.
Ranitidine SR,High,Safe landfill,No,Should be incinerated to avoid soil contamination.
Ranitidine 250mg,Low,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Capsule,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine Cap,Low,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Ranitidine Tablet,Medium,Safe landfill,No,Disrupts soil microbes if composted.
Ranitidine Cap,Low,Do not flush. Incinerate,No,Harmful to aquatic life.
Ranitidine 250mg,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Ranitidine 100mg,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ranitidine 250mg,Medium,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Ranitidine XL,High,Return to pharmacy,No,Can enter waterways through improper disposal.
Ranitidine Tablet,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Ranitidine XL,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ranitidine Oral,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Ranitidine SR,Low,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Ranitidine SR,Low,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine Tablet,High,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Ranitidine XL,Medium,Hazardous waste treatment,No,Harmful to aquatic life.
Ranitidine 250mg,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Ranitidine Tab,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Ranitidine 500mg,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Ranitidine 500mg,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Ranitidine Oral,Medium,Hazardous waste treatment,No,Harmful to aquatic life.
Ranitidine 100mg,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ranitidine Capsule,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Ranitidine 100mg,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ranitidine Capsule,High,Safe landfill,No,Disrupts soil microbes if composted.
